NodeID,Type,Ability,AvgTrustScore
723,Private,-0.0160118,0.480037
724,Government,19.1861,1
725,Private,4.55475,0.992901
726,Government,-1.61797,0.411778
727,Private,15.7042,0.996509
728,Private,0.258697,0.614802
729,Private,2.6419,0.995071
730,Private,1.82796,0.990239
731,Government,-0.520281,0.505844
732,Private,6.06238,0.994809
733,Private,7.93531,0.993527
734,Government,3.64128,1
735,Private,-2.20675,0.0114624
736,Private,14.2781,0.996827
884,Private,-5.59658,0.00880102
738,Government,16.3089,1
739,Private,8.89102,0.996288
740,Private,-10.8788,0.00329447
741,Private,-0.845848,0.115855
742,Private,-10.8013,0.0050727
743,Government,0.522672,0.911992
744,Private,-9.22839,0.00403994
745,Private,3.06723,0.993111
746,Private,0.865627,0.847708
747,Private,-6.18877,0.00723193
748,Government,7.49044,1
749,Private,16.8765,0.996962
750,Government,8.28751,1
751,Private,-8.09405,0.00446147
790,Private,6.03588,0.99156
775,Government,-2.07544,0.480582
776,Government,-0.0870146,0.711672
777,Private,3.46441,0.987154
778,Government,-0.41688,0.563443
779,Private,-10.7078,0.00336358
780,Private,-2.22313,0.0197718
781,Private,-5.10461,0.0100734
782,Private,-4.47399,0.00591602
783,Private,-7.65656,0.00404809
784,Private,2.72236,0.984856
785,Private,5.99793,0.992978
786,Private,-2.87836,0.0126224
787,Private,3.62339,0.986725
788,Government,-0.593241,0.703132
789,Private,-8.25651,0.00708081
774,Private,-2.05371,0.00777793
542,Private,-4.04746,0.00985078
543,Private,-0.65104,0.169556
544,Private,4.92751,0.996198
545,Private,-5.20573,0.00358958
546,Government,0.278296,0.879024
547,Government,3.90147,1
548,Government,6.55821,1
549,Government,-0.132069,0.656433
612,Private,1.67844,0.96862
550,Private,-0.541228,0.221707
551,Private,-2.89608,0.00584794
552,Government,5.8107,1
553,Government,9.34285,1
554,Private,3.18122,0.994828
555,Private,-4.13598,0.00806674
556,Private,-10.8445,0.00341141
557,Private,9.68072,0.995913
558,Private,1.8409,0.983862
559,Government,-2.45674,0.45378
560,Government,-1.79595,0.432711
561,Private,7.66003,0.994514
562,Private,-1.7184,0.0278019
563,Private,2.84275,0.99551
564,Government,10.2979,1
518,Private,12.7884,0.99678
503,Government,5.65713,1
504,Government,8.09429,1
505,Government,12.1065,1
506,Private,-2.54986,0.0114263
507,Government,-0.761076,0.507968
508,Private,-4.56823,0.00705829
510,Government,5.00781,1
511,Government,8.85401,1
512,Private,16.2451,0.996481
513,Government,3.03736,1
514,Private,3.39257,0.996776
515,Private,5.31376,0.992519
516,Private,-6.08704,0.0048276
517,Government,5.45056,1
502,Private,-6.84071,0.00621544
815,Government,18.5829,1
769,Government,3.4269,1
770,Government,1.12505,0.975243
771,Private,-5.51807,0.0075906
772,Government,15.9326,1
773,Private,16.5536,0.996887
541,Private,4.92274,0.991597
816,Private,2.42291,0.99625
817,Government,2.90177,0.998086
818,Private,17.3057,0.99669
819,Private,-5.03661,0.00555029
820,Government,4.55139,1
821,Government,11.4972,1
822,Government,0.380748,0.896147
823,Private,-2.01268,0.0113553
824,Government,3.55704,1
825,Private,2.47375,0.989637
826,Private,3.05175,0.991121
827,Private,0.445589,0.744582
828,Private,-11.8556,0.00322477
829,Private,-0.408819,0.275248
830,Government,13.5507,1
831,Private,-9.92581,0.00436501
832,Government,4.80619,1
833,Private,11.0123,0.997211
834,Government,8.16811,1
835,Private,-14.4163,0.00325006
836,Government,5.66155,1
837,Private,18.799,0.996831
838,Private,0.609422,0.812474
839,Private,5.79679,0.995262
840,Government,11.833,1
841,Government,2.23285,0.998949
842,Government,0.880107,0.978021
843,Private,10.3978,0.996996
844,Private,2.93548,0.98241
845,Private,6.22918,0.990963
846,Private,9.95086,0.996268
847,Government,1.75632,0.992253
848,Private,5.07369,0.990831
849,Private,2.63851,0.996362
850,Private,2.2762,0.994679
851,Government,1.89916,0.991646
852,Government,9.97663,1
853,Private,-5.36484,0.00380525
854,Private,7.32006,0.995545
